date,time,shooter,team,keeper,opposition,result,home_team,away_team,home_score,away_score,goal,on_target,save
07/06/2017,23:13,Fanendo Adi,Portland,Matt Lampson,Chicago,Goal,Portland,Chicago,0,0,1,1,0
07/06/2017,54:38,Daniel Royer,New York,Cody Cropper,New England,Goal,New England,New York,2,1,1,1,0
07/07/2017,68:02,Roland Alberg,Philadelphia,Tim Melia,Kansas City,Goal,Kansas City,Philadelphia,1,0,1,1,0
07/20/2017,90:22,Victor Vazquez,Toronto,Sean Johnson,New York City FC,Goal,New York City FC,Toronto,2,1,1,1,0
07/20/2017,49:11,Joao Plata,Salt Lake,Jake Gleeson,Portland,Goal,Portland,Salt Lake,0,1,1,1,0
07/23/2017,58:07,Benny Feilhaber,Kansas City,Nick Rimando,Salt Lake,Goal,Salt Lake,Kansas City,1,0,1,1,0
07/27/2017,37:35,Roland Alberg,Philadelphia,Zack Steffen,Columbus,Saved,Philadelphia,Columbus,1,0,0,1,1
07/30/2017,22:53,Daniel Royer,New York,Maxime Crepeau,Montreal,Goal,New York,Montreal,0,0,1,1,0
07/30/2017,48:39,Fredy Montero,Vancouver,Jesse Gonzalez,FC Dallas,Goal,FC Dallas,Vancouver,0,1,1,1,0
07/30/2017,49:24,Joao Plata,Salt Lake,Zack Steffen,Columbus,Goal,Salt Lake,Columbus,0,1,1,1,0
07/30/2017,74:54,Jozy Altidore,Toronto,Sean Johnson,New York City FC,Goal,Toronto,New York City FC,2,0,1,1,0
07/30/2017,92:51,Maximiliano Moralez,New York City FC,Alexander Bono,Toronto,Miss,Toronto,New York City FC,4,0,0,0,0
08/06/2017,47:15,Ignacio Piatti,Montreal,Joe Bendik,Orlando City,Goal,Montreal,Orlando City,0,1,1,1,0
08/06/2017,75:00,David Villa,New York City FC,Luis Robles,New York,Goal,New York City FC,New York,2,2,1,1,0
08/07/2017,58:01,Benny Feilhaber,Kansas City,Brad Guzan,Atlanta United,Goal,Kansas City,Atlanta United,0,0,1,1,0
08/13/2017,90:04,Ignacio Piatti,Montreal,John McCarthy,Philadelphia,Goal,Philadelphia,Montreal,0,1,1,1,0
08/13/2017,87:50,Ola Kamara,Columbus,Matt Lampson,Chicago,Goal,Columbus,Chicago,2,1,1,1,0
08/13/2017,48:54,Erick Torres,Houston,Andrew Tarbell,San Jose,Saved,Houston,San Jose,1,0,0,1,1
08/17/2017,36:04,Matteo Mancosu,Montreal,Matt Lampson,Chicago,Goal,Montreal,Chicago,1,0,1,1,0
08/20/2017,16:53,Fredy Montero,Vancouver,Tyler Deric,Houston,Goal,Vancouver,Houston,0,0,1,1,0
08/20/2017,94:03,Chris Wondolowski,San Jose,John McCarthy,Philadelphia,Goal,San Jose,Philadelphia,1,2,1,1,0
08/21/2017,93:40,Clint Dempsey,Seattle,Bobby Shuttleworth,Minnesota United,Goal,Seattle,Minnesota United,1,1,1,1,0
08/24/2017,23:04,Federico Higuain,Columbus,Jon Kempin,L.A. Galaxy,Saved,Columbus,L.A. Galaxy,0,0,0,1,1
08/24/2017,78:21,Ola Kamara,Columbus,Jon Kempin,L.A. Galaxy,Saved,Columbus,L.A. Galaxy,1,0,0,1,1
08/24/2017,18:41,Nicolas Lodeiro,Seattle,David Ousted,Vancouver,Goal,Vancouver,Seattle,0,0,1,1,0
08/24/2017,30:48,David Guzman,Portland,Tim Howard,Colorado,Miss,Portland,Colorado,2,1,0,0,0
08/26/2017,69:25,Gonzalo Veron,New York,Sean Johnson,New York City FC,Goal,New York,New York City FC,0,1,1,1,0
08/27/2017,49:09,Luis Silva,Salt Lake,Tim Howard,Colorado,Goal,Salt Lake,Colorado,1,0,1,1,0
08/28/2017,46:19,Diego Valeri,Portland,Stefan Frei,Seattle,Goal,Seattle,Portland,1,0,1,1,0
09/03/2017,17:55,Romain Alessandrini,L.A. Galaxy,Zac MacMath,Colorado,Goal,L.A. Galaxy,Colorado,0,0,1,1,0
09/03/2017,74:40,Mauro Diaz,FC Dallas,Luis Robles,New York,Goal,FC Dallas,New York,1,2,1,1,0
09/14/2017,30:13,Josef Martinez,Atlanta United,Cody Cropper,New England,Goal,Atlanta United,New England,1,0,1,1,0
09/14/2017,38:47,Josef Martinez,Atlanta United,Cody Cropper,New England,Goal,Atlanta United,New England,2,0,1,1,0
09/17/2017,12:21,Ignacio Piatti,Montreal,Bobby Shuttleworth,Minnesota United,Saved,Montreal,Minnesota United,1,0,0,1,1
09/17/2017,20:00,Kevin Molino,Minnesota United,Evan Bush,Montreal,Goal,Montreal,Minnesota United,1,0,1,1,0
09/17/2017,89:38,Nemanja Nikolic,Chicago,Bill Hamid,DC United,Goal,Chicago,DC United,0,2,1,1,0
09/24/2017,71:32,Gonzalo Veron,New York,Zack Steffen,Columbus,Goal,Columbus,New York,2,1,1,1,0
09/24/2017,67:49,Mauro Diaz,FC Dallas,Bobby Shuttleworth,Minnesota United,Saved,Minnesota United,FC Dallas,2,1,0,1,1
09/25/2017,14:37,Diego Valeri,Portland,Joe Bendik,Orlando City,Goal,Portland,Orlando City,0,0,1,1,0
09/28/2017,77:01,Gonzalo Veron,New York,Steve Clark,DC United,Goal,New York,DC United,2,2,1,1,0
09/28/2017,83:35,Alberth Elis,Houston,Clement Diop,L.A. Galaxy,Goal,Houston,L.A. Galaxy,1,3,1,1,0
10/01/2017,76:19,Daniel Royer,New York,Alexander Bono,Toronto,Goal,Toronto,New York,2,1,1,1,0
10/01/2017,79:48,Victor Vazquez,Toronto,Luis Robles,New York,Goal,Toronto,New York,2,2,1,1,0
10/01/2017,9:17,Diego Rubio,Kansas City,Stefan Marinovic,Vancouver,Post,Kansas City,Vancouver,0,0,0,0,0
10/15/2017,47:34,Sebastian Giovinco,Toronto,Maxime Crepeau,Montreal,Post,Toronto,Montreal,1,0,0,0,0
10/15/2017,63:40,Nemanja Nikolic,Chicago,Andre Blake,Philadelphia,Goal,Chicago,Philadelphia,1,2,1,1,0
10/16/2017,47:32,Diego Valeri,Portland,Steve Clark,DC United,Goal,Portland,DC United,0,0,1,1,0
10/22/2017,83:46,Gonzalo Veron,New York,Steve Clark,DC United,Saved,DC United,New York,1,2,0,1,1
10/22/2017,72:59,Mauro Diaz,FC Dallas,Clement Diop,L.A. Galaxy,Goal,FC Dallas,L.A. Galaxy,4,1,1,1,0
10/22/2017,47:32,Patrice Bernier,Montreal,Brad Knighton,New England,Goal,Montreal,New England,0,1,1,1,0
10/22/2017,51:48,Dominique Badji,Colorado,Stefan Frei,Seattle,Post,Seattle,Colorado,1,0,0,0,0
10/22/2017,63:34,Nicolas Lodeiro,Seattle,Tim Howard,Colorado,Goal,Seattle,Colorado,1,0,1,1,0
10/22/2017,92:28,David Villa,New York City FC,Zack Steffen,Columbus,Saved,New York City FC,Columbus,2,2,0,1,1
10/22/2017,30:23,Yamil Asad,Atlanta United,Alexander Bono,Toronto,Goal,Atlanta United,Toronto,0,0,1,1,0
40621,62.27,Charlie Davies,DCU,William Hesmer,CLB,Goal,DCU,CLB,1,0,1,1,0
40621,78.26,Robbie Rogers,CLB,Pat Onstad,DCU,Goal,DCU,CLB,3,0,1,1,0
40621,8.05,Thierry Henry,NYRB,Kasey Keller,SEA,Saved,NYRB,SEA,0,0,0,1,1
40628,33.21,Diego Chaves,CHI,Jimmy Nielsen,SKC,Goal,CHI,SKC,0,0,1,1,0
40628,16.17,Shalrie Joseph,NE,Pat Onstad,DCU,Goal,NE,DCU,1,0,1,1,0
40628,90.18,Charlie Davies,DCU,Matt Reis,NE,Goal,NE,DCU,2,0,1,1,0
40628,9.02,Javier Morales,RSL,Josh Saunders,LA,Goal,RSL,LA,1,0,1,1,0
40634,53.55,Andres Mendoza,CLB,Kevin Hartman,FCD,Goal,CLB,FCD,0,0,1,1,0
40639,55.22,Eric Hassli,VAN,Bobby Shuttleworth,NE,Goal,VAN,NE,0,0,1,1,0
40642,89.41,Charlie Davies,DCU,Donovan Ricketts,LA,Goal,DCU,LA,0,1,1,1,0
40656,7.28,Landon Donovan,LA,Troy Perkins,POR,Goal,LA,POR,1,0,1,1,0
40656,68.5,Kei Kamara,SKC,Matt Reis,NE,Goal,NE,SKC,1,1,1,1,0
40656,27.13,David Ferreira,FCD,Jay Nolly,VAN,Miss,VAN,FCD,1,0,0,0,0
